CO2_in,CO_in,H2_in,Af,A1,A2,w,phi,N2,Tin,Tc,objective1,objective2
0.03487514594819058,0.2924720439789662,0.5226528100728433,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952685001,473.1499952685001,416.89822531367554,0.4757616661569475
0.034542008676108925,0.2903225941520642,0.5251353971718269,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526993967,473.14999526993967,416.86848246931027,0.4793631937833476
0.0342088824503715,0.28816326950498283,0.5276278480446457,0.0,0.0,0.0,0.005,0.0,0.15,473.149995269921,473.149995269921,416.77812685230856,0.4829647312139793
0.03387569595097633,0.2859930036098552,0.5301313004391686,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526990226,473.14999526990226,416.62538271675004,0.48656626868851516
0.03354237331710355,0.28381066916666864,0.5326469575162278,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952698834,473.1499952698834,416.4083531352862,0.49016780617402717
0.033208834715506216,0.28161507899339544,0.5351760862910984,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526986446,473.14999526986446,416.12501040425957,0.4937693436639296
0.03287499597269069,0.2794049807647054,0.537720023262604,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952698454,473.1499952698454,415.7731854517224,0.4973708811560276
0.03254076816360097,0.2771790511827826,0.5402801806536165,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952698263,473.1499952698263,415.3505561164131,0.50097241864938
0.03220605715262212,0.2749358895166776,0.5428580533307004,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526980705,473.14999526980705,414.8546341504916,0.5045739561435169
0.03187076308043204,0.2726740104263583,0.5454552264932098,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952697877,473.1499952697877,414.2827507757457,0.5081754936381764
0.031534779788984356,0.2703918359730152,0.5480733842380004,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952697682,473.1499952697682,413.63204059558535,0.511777031133202
0.031197994175553353,0.26808768670071514,0.5507143191237315,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952697487,473.1499952697487,412.89942363260406,0.5153785686284943
0.030860285465172055,0.2657597716549195,0.5533799428799084,0.0,0.0,0.0,0.005,0.0,0.15,473.149995269729,473.149995269729,412.08158522256434,0.5189801061239865
0.030521524388871867,0.26340617717993287,0.5560722984311952,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952697092,473.1499952697092,411.17495344899663,0.5225816436196321
0.030181572252803233,0.26102485430909556,0.5587935734381012,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526968927,473.14999526968927,410.17567374637326,0.5261831811153992
0.029840279880487243,0.25861360452724297,0.5615461155922697,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526966926,473.14999526966926,409.0795802316713,0.5297847186112629
0.02949748640697943,0.2561700636432374,0.5643324499497833,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952696491,473.1499952696491,407.8821632412504,0.5333862561072054
0.02915301789947142,0.253691683459259,0.5671552986412696,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952696288,473.1499952696288,406.57853244850844,0.5369877936032129
0.028806685773582735,0.2511757108605821,0.5700176033658352,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952696084,473.1499952696084,405.1633748129125,0.5405893310992744
0.028458284968038434,0.2486191638715522,0.5729225511604094,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526958786,473.14999526958786,403.6309064564135,0.5441908685953817
0.02810759183222039,0.24601880412622068,0.575873604041559,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952695671,473.1499952695671,401.97481737068574,0.5477924060915282
0.02775436167072015,0.24337110507989654,0.5788745332493833,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952695463,473.1499952695463,400.18820761692126,0.5513939435877082
0.02739832587588,0.24067221513347026,0.5819294589906497,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526952533,473.14999526952533,398.26351337472704,0.5549954810839168
0.027039188562475107,0.2379179146453993,0.5850428967921256,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952695042,473.1499952695042,396.19242080777127,0.5585970185801511
0.026676622596977683,0.23510356555328557,0.5882198118497367,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526948293,473.14999526948293,393.9657652147781,0.5621985560764072
0.026310264885568556,0.23222405199884052,0.591465683115591,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952694615,473.1499952694615,391.5734122877905,0.5658000935726833
0.02593971074789605,0.22927370992052815,0.5947865793315759,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952694399,473.1499952694399,389.0041174539344,0.5694016310689769
0.02556450715422723,0.22624624301006754,0.5981892498357053,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952694182,473.1499952694182,386.2453581594689,0.573003168565286
0.025184144537349747,0.22313462166899714,0.6016812337936531,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526939624,473.14999526939624,383.2831324615691,0.576604706061609
0.024798046800480516,0.21993096057256256,0.605270992626957,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952693742,473.1499952693742,380.1017152735455,0.5802062435579446
0.02440555901833462,0.21662636903636545,0.6089680719452999,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952693519,473.1499952693519,376.6833608408474,0.5838077810542921
0.0240059321550876,0.21321076641587622,0.6127833014290363,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952693295,473.1499952693295,373.00793617567354,0.5874093185506497
0.023598303876755974,0.2096726519889223,0.6167290441343218,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952693069,473.1499952693069,369.052464738899,0.5910108560470168
0.023181674179804164,0.20599881476936444,0.6208195110508314,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526928415,473.14999526928415,364.7905518370989,0.5946123935433929
0.022754874033765755,0.20217396282542766,0.6250711631408067,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952692612,473.1499952692612,360.1916517348036,0.598213931039777
0.022316524446795438,0.19818024286221833,0.6295032326909863,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952692381,473.1499952692381,355.22011929755894,0.6018154685361689
0.021864982146188754,0.193996607276418,0.6341384105773933,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526921486,473.14999526921486,349.8339625919733,0.6054170060325673
0.021398266136304224,0.1895979644697865,0.6390037693939093,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526919144,473.14999526919144,343.98317120616423,0.6090185435289721
0.020913956238705768,0.18495401325869784,0.6441320305025964,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952691679,473.1499952691679,337.6074271663089,0.6126200810253836
0.020409049361207483,0.1800276030791134,0.6495633475596791,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526914437,473.14999526914437,330.63289060061504,0.6162216185218006
0.019879749757374162,0.17477235727702692,0.655347892965599,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526912084,473.14999526912084,322.96755001914715,0.6198231560182229
0.019321151886141943,0.16912910294946687,0.6615497451643911,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952690975,473.1499952690975,314.4942520628114,0.6234246935146502
0.018726739596426338,0.16302026863084385,0.6682529917727299,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526907457,473.14999526907457,305.05978714992915,0.6270262310110823
0.018087551146167138,0.15634059978829537,0.6755718490655375,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952690525,473.1499952690525,294.4568419636735,0.6306277685075193
0.01739068630922443,0.14894065168337586,0.6836686620073997,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526903233,473.14999526903233,282.3919872338608,0.6342293060039604
0.01661637516967764,0.14059454532313964,0.6927890795071828,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952690164,473.1499952690164,268.42329916794824,0.637830843500406
0.015731405565110813,0.13092800186390688,0.7033405925709824,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526901227,473.14999526901227,251.82148989328167,0.641432380996856
0.014671009190725079,0.11922081296725362,0.7161081778420213,0.0,0.0,0.0,0.005,0.0,0.15,473.1499952693362,473.1499952693362,231.1897562155046,0.6450339184933984
0.013265548397928768,0.10361022858353831,0.733124223018533,0.0,0.0,0.0,0.005,0.0,0.15,473.14999526854916,473.14999526854916,202.93510402709902,0.648635455989668
0.004305294755606672,0.0056946952443942015,0.8400000099999992,0.0,0.0,0.0,0.005,0.0,0.15,501.7208168691291,501.7208168691291,17.45970825841807,0.6522370034861765
